who	$-who
plays	$-plays
luke	B-character.name
on	$-on
star	B-movie.name
wars	I-movie.name
new	I-movie.name
hope	I-movie.name

show	$-show
credits	$-credits
for	$-for
the	B-movie.name
godfather	I-movie.name

who	O
was	O
the	$-the
main	$-main
actor	$-actor
in	$-in
the	B-movie.name
exorcist	I-movie.name

find	O
the	O
female	O
actress	$-actress
from	$-from
the	$-the
movie	$-movie
she	B-movie.name
's	I-movie.name
the	I-movie.name
man	I-movie.name

who	$-who
played	$-played
dory	B-character.name
on	$-on
finding	B-movie.name
nemo	I-movie.name

who	O
was	O
the	$-the
female	$-female
lead	$-lead
in	$-in
resident	B-movie.name
evil	I-movie.name

who	$-who
played	$-played
guido	B-character.name
in	$-in
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	O
was	$-was
the	$-the
co-star	$-co-star
in	$-in
shoot	B-movie.name
to	I-movie.name
kill	I-movie.name

find	O
the	$-the
guy	$-guy
who	$-who
plays	$-plays
charlie	B-character.name
on	$-on
charlie	B-movie.name
's	I-movie.name
angels	I-movie.name

cast	O
and	$-and
crew	$-crew
of	$-of
movie	$-movie
the	B-movie.name
campaign	I-movie.name

cast	$-cast
and	$-and
crew	$-crew
of	$-of
the	B-movie.name
campaign	I-movie.name

who	O
plays	$-plays
in	$-in
the	$-the
movie	$-movie
the	B-movie.name
campaign	I-movie.name

who	$-who
starred	$-starred
in	$-in
the	B-movie.name
campaign	I-movie.name

who	O
were	$-were
the	$-the
crew	$-crew
for	$-for
the	B-movie.name
campaign	I-movie.name

who	O
was	O
the	$-the
lead	$-lead
man	$-man
in	$-in
taxi	B-movie.name
driver	I-movie.name

star	$-star
of	$-of
twilight	B-movie.name

who	$-who
stars	$-stars
in	$-in
vulgaria	B-movie.name

what	O
are	O
the	O
names	O
of	O
female	O
actors	$-actors
who	$-who
played	$-played
in	$-in
lost	B-movie.name

can	O
i	O
see	O
the	O
set	O
list	$-list
and	$-and
cast	$-cast
for	$-for
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

cast	$-cast
and	$-and
crew	$-crew
of	$-of
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

show	O
cast	O
and	O
crew	$-crew
for	$-for
the	$-the
movie	$-movie
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

what	O
's	$-'s
the	$-the
cast	$-cast
for	$-for
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	$-who
played	$-played
in	$-in
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	$-who
played	$-played
in	$-in
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	$-who
was	$-was
in	$-in
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

who	$-who
were	$-were
roberto	B-actor.name
benigni	I-actor.name
's	$-'s
costars	$-costars
on	$-on
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

i	O
am	O
looking	O
for	O
the	O
actor	$-actor
that	$-that
played	$-played
in	$-in
pretty	B-movie.name
women	I-movie.name

star	$-star
of	$-of
troy	B-movie.name

who	$-who
played	$-played
robin	B-character.name
in	$-in
batman	B-movie.name
forever	I-movie.name

find	O
the	$-the
male	$-male
actor	$-actor
from	$-from
dirty	B-movie.name
harry	I-movie.name

show	O
me	O
the	$-the
actor	$-actor
of	$-of
the	$-the
ranam	B-movie.name

rocky	B-movie.name
